Index,Data
REAL,REAL
907,694.375
908,697.95
909,701.525
910,704
911,704.82495
912,704
913,701.8
914,699.325
915,698.225
916,699.325
917,701.8
918,704
919,704.82495
920,704.275
921,703.175
922,702.625
923,702.9
924,703.17505
925,702.9
926,702.9
927,704.275
928,706.475
929,707.85
930,707.85
931,707.57495
932,707.85
933,707.85
934,706.2
935,702.9
936,699.325
937,696.575
938,694.65
939,693
940,691.35
941,689.7
942,688.05
943,686.675
944,686.125
945,686.95
946,689.42505
947,693
948,696.57495
949,699.05
950,699.875
951,699.325
952,697.95
953,696.575
954,696.025
955,696.85
956,699.05
957,701.8
958,704
959,705.1
960,705.65
961,706.475
962,707.85
963,709.225
964,710.05
965,710.32495
966,710.32495
967,710.32495
968,710.05
969,709.225
970,708.125
971,707.85
972,709.5
973,713.075
974,717.75
975,722.7
976,727.65
977,732.6
978,737.275
979,740.85
980,742.5
981,742.225
982,740.85
983,739.2
984,737.825
985,737.275
986,737.55
987,737.55
988,736.175
989,733.7
990,731.225
991,729.025
992,726.275
993,722.7
994,719.125
995,716.64996
