Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
5/8/2008,14008.19,14036.31,13930.28,13943.26,120400
5/9/2008,13941.3,13946.51,13639.99,13655.34,130400
5/12/2008,13565.91,13793.41,13540.68,13743.36,103000
5/13/2008,13814.39,13976.92,13734.5,13953.73,129200
5/14/2008,13961.96,14121.94,13877.4,14118.55,142400
5/15/2008,14167.02,14352.84,14167.02,14251.74,160200
5/16/2008,14363.62,14392.53,14194.91,14219.48,144200
5/19/2008,14294.52,14343.19,14219.08,14269.61,133800
5/20/2008,14220.12,14286.67,14121.92,14160.09,159800
5/21/2008,14002.52,14041.24,13847.18,13926.3,160200
5/22/2008,13772.65,13984.81,13658.02,13978.46,159200
5/23/2008,13945.1,14157.24,13925.38,14012.2,146400
5/26/2008,13875.98,13883.51,13670.92,13690.19,117800
5/27/2008,13750.82,13931.23,13750.82,13893.31,100200
5/28/2008,13937.14,13979.39,13665.57,13709.44,132400
5/29/2008,13832.65,14147.89,13832.65,14124.47,128800
5/30/2008,14195.66,14366.63,14192.17,14338.54,166600
6/2/2008,14342.96,14461.03,14189.97,14440.14,0
6/3/2008,14275.61,14289.47,14127.75,14209.17,152600
6/4/2008,14270.07,14435.57,14250.11,14435.57,168800
6/5/2008,14392.59,14392.59,14262.02,14341.12,152000
6/6/2008,14530.36,14601.27,14489.44,14489.44,150600
6/9/2008,14275.34,14278.84,14117.79,14181.38,122000
6/10/2008,14281.36,14308.89,13983.56,14021.17,120600
6/11/2008,14137.54,14194.48,13993.57,14183.48,131000
6/12/2008,14010.32,14010.32,13826.07,13888.6,133400
6/13/2008,14011.12,14041.34,13810.38,13973.73,230400
6/16/2008,14118.23,14369.09,14103.5,14354.37,120000
6/17/2008,14387,14387,14299.67,14348.37,110800
6/18/2008,14301.36,14469.99,14301.36,14452.82,110800
6/19/2008,14324.71,14324.71,14069.16,14130.17,130800
6/20/2008,14171.02,14190,13903.21,13942.08,129600
6/23/2008,13769.44,13920.75,13667.84,13857.47,117600
6/24/2008,13766.28,13877.49,13738.39,13849.56,100200
6/25/2008,13820.78,13833.23,13635.68,13829.92,123600
6/26/2008,13845.41,13950.56,13798.05,13822.32,114400
